 Результаты расчета
 a=1
 x= -3	 y= не число
 x= -2,7999999970197678	 y= не число
 x= -2,5999999940395355	 y= не число
 x= -2,3999999910593033	 y= не число
 x= -2,199999988079071	 y= не число
 x= -1,9999999850988388	 y= не число
 x= -1,7999999821186066	 y= не число
 x= -1,5999999791383743	 y= не число
 x= -1,399999976158142	 y= не число
 x= -1,1999999731779099	 y= не число
 x= -0,9999999701976776	 y= не число
 x= -0,7999999672174454	 y= не число
 x= -0,5999999642372131	 y= не число
 x= -0,3999999612569809	 y= не число
 x= -0,19999995827674866	 y= не число
 x= 4,470348358154297E-08	 y= 2,2358829850886044E-08
 x= 0,20000004768371582	 y= 0,15038558775344946
 x= 0,40000005066394806	 y= 0,3252385648225644
 x= 0,6000000536441803	 y= 0,5089329440157637
 x= 0,8000000566244125	 y= 0,6974204765718334
 x= 1,0000000596046448	 y= 0,8888889462859544
 x= 1,200000062584877	 y= 1,0823630297501792
 x= 1,4000000655651093	 y= 1,277259264219426
 x= 1,6000000685453415	 y= 1,4732030252760535
 x= 1,8000000715255737	 y= 1,6699410996291697
 x= 2,000000074505806	 y= 1,867295475312885
 x= 2,200000077486038	 y= 2,065137040417684
 x= 2,4000000804662704	 y= 2,263369735032231
 x= 2,6000000834465027	 y= 2,461920557461768
 x= 2,800000086426735	 y= 2,660733022806605
 a=1,5
 x= -3	 y= не число
 x= -2,7999999970197678	 y= не число
 x= -2,5999999940395355	 y= не число
 x= -2,3999999910593033	 y= не число
 x= -2,199999988079071	 y= не число
 x= -1,9999999850988388	 y= не число
 x= -1,7999999821186066	 y= не число
 x= -1,5999999791383743	 y= не число
 x= -1,399999976158142	 y= не число
 x= -1,1999999731779099	 y= не число
 x= -0,9999999701976776	 y= не число
 x= -0,7999999672174454	 y= не число
 x= -0,5999999642372131	 y= не число
 x= -0,3999999612569809	 y= не число
 x= -0,19999995827674866	 y= не число
 x= 4,470348358154297E-08	 y= 2,6828894255099693E-08
 x= 0,20000004768371582	 y= 0,16394208085729414
 x= 0,40000005066394806	 y= 0,3468475968355141
 x= 0,6000000536441803	 y= 0,5360534050372343
 x= 0,8000000566244125	 y= 0,7285602251767647
 x= 1,0000000596046448	 y= 0,9230769812708071
 x= 1,200000062584877	 y= 1,1189261248684745
 x= 1,4000000655651093	 y= 1,3157095589922574
 x= 1,6000000685453415	 y= 1,5131751346088245
 x= 1,8000000715255737	 y= 1,7111542389306726
 x= 2,000000074505806	 y= 1,9095293618412599
 x= 2,200000077486038	 y= 2,1082158869782313
 x= 2,4000000804662704	 y= 2,3071512434761074
 x= 2,6000000834465027	 y= 2,5062881300086666
 x= 2,800000086426735	 y= 2,7055901155593483
 a=2
 x= -3	 y= не число
 x= -2,7999999970197678	 y= не число
 x= -2,5999999940395355	 y= не число
 x= -2,3999999910593033	 y= не число
 x= -2,199999988079071	 y= не число
 x= -1,9999999850988388	 y= не число
 x= -1,7999999821186066	 y= не число
 x= -1,5999999791383743	 y= не число
 x= -1,399999976158142	 y= не число
 x= -1,1999999731779099	 y= не число
 x= -0,9999999701976776	 y= не число
 x= -0,7999999672174454	 y= не число
 x= -0,5999999642372131	 y= не число
 x= -0,3999999612569809	 y= не число
 x= -0,19999995827674866	 y= не число
 x= 4,470348358154297E-08	 y= 2,9808622219652357E-08
 x= 0,20000004768371582	 y= 0,17168012429566198
 x= 0,40000005066394806	 y= 0,35876590029510075
 x= 0,6000000536441803	 y= 0,5507272204093757
 x= 0,8000000566244125	 y= 0,7451967010998246
 x= 1,0000000596046448	 y= 0,9411765291616578
 x= 1,200000062584877	 y= 1,1381499357413374
 x= 1,4000000655651093	 y= 1,3358160965264059
 x= 1,6000000685453415	 y= 1,533985792323219
 x= 1,8000000715255737	 y= 1,732533175930291
 x= 2,000000074505806	 y= 1,9313709240170236
 x= 2,200000077486038	 y= 2,1304363837996307
 x= 2,4000000804662704	 y= 2,3296833668001087
 x= 2,6000000834465027	 y= 2,5290770475969824
 x= 2,800000086426735	 y= 2,7285906653156005
